professor;lecture;participants;professional expertise;motivation;clear presentation;overall impression
1;75;112;1.72;1.81;2.58;2.62
1;76;50;1.57;1.88;2.31;2.3
2;77;101;1.23;1.56;1.64;1.78
2;78;21;1.2;1.2;1.95;2.16
2;79;8;1.25;1.5;2.25;1.5
2;80;10;1;1.5;1.5;1.3
2;81;11;1.18;1.45;1.36;1.36
3;82;22;1.48;1.55;1.95;1.91
3;82;41;1.2;1.58;2.05;1.91
3;83;33;1.31;1.36;1.63;1.84
3;84;119;1.85;2.28;2.43;2.5
3;85;78;2.69;2.91;3.47;3.23
3;86;23;1.35;1.57;1.78;1.83
4;87;12;1.17;1.33;1.67;1.67
4;88;8;1.25;1.5;2.13;1.88
4;89;16;1.31;1.44;2.25;2.36
5;90;48;1.5;1.57;1.73;1.89
5;90;22;1.55;1.55;1.71;1.68
5;91;18;1.33;1.28;1.59;1.5
6;92;169;1.56;1.86;3.2;3.01
7;93;21;1.14;1.1;1.67;1.85
8;94;68;1.41;1.39;2.08;1.92
8;94;50;1.58;1.55;1.88;1.92
8;95;38;1.68;1.68;2.11;2.13
9;96;10;1.9;2.6;3.1;3
10;97;65;1.52;2.11;1.95;2.32
10;97;73;1.56;1.85;1.93;1.99
10;98;43;2.19;2.38;2.35;2.51
10;98;28;1.75;1.93;2.18;2.2
11;99;51;1.4;1.66;2.1;2.04
11;100;29;1.54;1.55;2.31;2.23
12;101;49;1.41;1.59;1.8;1.83
13;01;17;1.35;1.2;1.76;1.73
13;02;6;1.33;1.5;2;1.6
14;03;77;1.17;1.3;1.56;1.82
14;04;8;1;1;1.63;1.13
14;05;27;1.11;1.26;1.37;1.48
14;05;24;1.25;1.25;1.67;1.81
14;06;9;1.11;1.56;1.67;1.67
14;06;59;1.19;1.41;1.4;1.64
14;07;50;1.14;1.5;1.62;1.92
14;07;37;1.11;1.31;1.43;1.46
15;08;21;1.29;1.52;1.67;1.84
15;09;19;1.21;1.63;2;2.59
15;10;85;1.44;2.04;2.02;1.99
15;11;164;1.39;1.85;1.91;1.96
15;12;35;1.26;1.51;1.74;1.77
15;13;19;1.21;1.37;1.68;1.94
15;14;23;1.43;1.74;2.17;1.95
15;14;18;1.11;1.39;1.94;1.69
16;15;16;1.31;1.19;1.44;1.29
16;16;78;1.67;1.99;2;2.3
16;17;20;1.4;1.6;2.37;2.25
16;18;13;1.62;2;2.31;2.23
16;18;15;1.53;1.87;2.4;2.15
16;19;11;1.27;1.64;1.9;1.82
16;20;12;1.5;1.92;1.92;1.91
17;21;38;1.54;2.03;2.19;2.31
17;22;10;1.1;1.4;1.4;1.7
17;23;20;1.44;1.74;1.89;2.11
17;23;14;1.43;2.14;1.93;2.38
17;24;157;2.05;2.51;2.52;2.4
17;25;18;1.11;1.67;1.56;1.71
18;26;22;1.95;2.48;2.91;2.77
18;26;30;2.17;2.76;2.82;3
18;27;9;1.22;1.56;1.89;1.89
19;28;24;1.38;1.83;2.3;2.29
20;29;7;1.14;1.14;1.71;1.33
21;30;274;1.91;2.42;2.99;2.84
21;30;163;2.08;2.65;3.09;3.11
22;31;9;2;2.22;2;2.13
23;32;41;1.29;2;1.98;2.13
23;33;18;1.39;2;2.24;2.35
23;33;10;1.6;1.9;2.5;3
23;34;19;2.06;3.11;4.37;4.06
24;35;98;1.29;1.93;2.15;2.06
24;36;39;1.37;2.08;2.17;2.32
25;37;34;2;2.64;2.73;2.52
26;38;6;1.17;1;1.83;1.17
27;39;7;1.57;1.29;2;1.43
28;40;29;1.59;2.34;2.5;2.37
28;40;18;1.72;2.11;2.89;2.69
29;41;110;1.22;1.51;1.76;1.9
29;42;108;1.22;1.5;1.62;1.76
30;43;22;1.5;1.82;1.91;1.95
31;44;34;1.32;1.82;1.65;1.79
31;44;12;1.17;1.67;1.25;1.55
31;45;16;1.13;1.56;1.75;1.71
32;46;326;1.55;2.04;2.54;2.54
33;47;38;1.58;2.13;2.3;2.31
33;47;47;2;2.55;2.72;2.93
33;48;43;2.02;2.38;2.93;3.26
33;49;86;2.29;2.78;2.52;2.83
34;50;138;1.64;1.99;2.63;2.6
34;51;8;1.5;1.88;2.13;1.63
34;52;44;1.34;1.75;2.68;2.51
35;53;57;1.83;2.68;2.87;2.67
35;54;28;2.14;3.61;3.52;3.46
36;55;22;1.45;2.09;2.23;2.32
37;56;55;1.33;1.91;2.29;2.31
37;57;9;1.33;1.11;1.44;1.89
37;57;13;1.67;1.69;2.08;2.46
38;58;15;2;2.07;1.85;2.07
38;59;23;1.27;2;1.86;1.91
39;60;30;1.6;1.6;2.13;2.04
39;61;19;1.47;1.58;1.89;2.06
40;62;30;1.67;1.83;1.76;2.03
40;63;65;1.84;2.39;2.54;2.66
40;64;20;1.35;1.65;1.75;1.85
40;64;22;1.41;1.86;1.64;1.68
40;65;39;1.56;1.77;2;1.86
40;66;21;1.6;1.9;1.81;2
40;66;52;1.49;1.67;1.69;1.88
41;67;7;1.71;1.14;1.43;1.86
41;67;29;1.31;1.48;1.82;1.89
42;68;14;1.29;2.07;2.23;1.91
42;69;11;1.73;1.55;1.64;2
43;70;199;1.42;1.69;2.75;2.71
43;71;76;1.11;1.36;2.09;2.21
44;72;17;1.53;1.76;2.41;2.06
44;73;151;1.71;1.96;1.99;2.2
44;74;40;1.75;1.95;2.2;2.08
