
> data-vis@1.0.0 as1 /Users/saman/Projects/GitHub/data-vis
> node ./assignment-1/main.js

0 3 0 0
0 11 0 0
0 19 0 0
0 28 0 0
0 38 0 0
0 48 0 0
0 59 0 0
0 71 0 0
0 83 0 0
0 96 0 0
0 110 0 0
0 125 0 0
0 141 0 0
0 158 0 0
0 176 0 0
0 195 0 0
0 215 0 0
0 236 0 0
0 258 0 0
0 282 0 0
0 306 0 0
0 332 0 0
0 359 0 0
0 387 0 0
0 417 0 0
0 448 0 0
0 479 0 0
0 513 0 0
0 547 0 0
0 582 0 0
0 618 0 0
0 656 0 0
0 694 0 0
0 733 0 0
0 773 0 0
0 813 0 0
0 854 0 0
0 895 0 0
0 937 0 0
0 979 0 0
0 1020 0 0
0 1062 0 0
0 1104 0 0
0 1145 0 0
0 1186 0 0
0 1226 0 0
0 1266 0 0
0 1305 0 0
0 1343 0 0
0 1381 0 0
0 1417 0 0
0 1452 0 0
0 1486 0 0
0 1520 0 0
0 1551 0 0
0 1582 0 0
0 1612 0 0
0 1640 0 0
0 1667 0 0
0 1693 0 0
0 1717 0 0
0 1741 0 0
0 1763 0 0
0 1784 0 0
0 1804 0 0
0 1823 0 0
0 1841 0 0
0 1858 0 0
0 1874 0 0
0 1889 0 0
0 1903 0 0
0 1916 0 0
0 1928 0 0
0 1940 0 0
0 1951 0 0
0 1961 0 0
0 1971 0 0
0 1980 0 0
0 1988 0 0
0 1996 0 0
0 2000 0 0
3 0 0 0
3 3 0 -0
3 11 -0 0
3 19 -0 0
3 28 -0 0
3 38 0 0
3 48 0 -0
3 59 0 -0
3 71 0 -0
3 83 0 -0
3 96 0 -0
3 110 0 -0
3 125 0 -0
3 141 0 -0
3 158 0 -0
3 176 0 -0
3 195 0 -0
3 215 0 -0
3 236 -0 -0
3 258 -0 -0
3 282 -0 -0
3 306 -0 -0
3 332 -0 -0
3 359 -0 0
3 387 -0 0
3 417 -0 0
3 448 -0 0
3 479 -0 0
3 513 -0 0
3 547 -0 1
3 582 -0 1
3 618 -0 1
3 656 -0 1
3 694 -0 2
3 733 -0 2
3 773 -0 2
3 813 -0 2
3 854 -0 2
3 895 -0 2
3 937 0 2
3 979 0 2
3 1020 0 2
3 1062 0 2
3 1104 0 2
3 1145 0 2
3 1186 0 2
3 1226 0 2
3 1266 0 1
3 1305 0 1
3 1343 0 1
3 1381 0 1
3 1417 0 1
3 1452 0 0
3 1486 0 0
3 1520 0 0
3 1551 0 0
3 1582 0 0
3 1612 0 0
3 1640 0 0
3 1667 0 0
3 1693 -0 0
3 1717 -0 0
3 1741 -0 0
3 1763 -0 0
3 1784 -0 0
3 1804 -0 0
3 1823 -0 1
3 1841 -0 1
3 1858 -0 2
3 1874 -0 3
3 1889 -0 4
3 1903 -0 6
3 1916 -0 9
3 1928 -0 13
3 1940 -0 19
3 1951 -0 29
3 1961 -1 48
3 1971 -3 87
3 1980 -13 182
3 1988 -65 445
3 1996 320 320
3 2000 2000 0
11 0 0 0
11 3 -0 0
11 11 -0 0
11 19 -0 0
11 28 -0 0
11 38 0 0
11 48 0 -0
11 59 0 -0
11 71 0 -0
11 83 0 -0
11 96 0 -0
11 110 0 -0
11 125 0 -0
11 141 0 -0
11 158 0 -0
11 176 0 -0
11 195 0 -0
11 215 0 -0
11 236 -0 -0
11 258 -0 -0
11 282 -0 -0
11 306 -0 -0
11 332 -0 -0
11 359 -0 0
11 387 -0 0
11 417 -0 1
11 448 -0 2
11 479 -0 3
11 513 -0 4
11 547 -0 5
11 582 -0 6
11 618 -0 8
11 656 -0 9
11 694 -0 10
11 733 -0 11
11 773 -0 12
11 813 -0 13
11 854 -0 14
11 895 -0 14
11 937 0 14
11 979 0 14
11 1020 0 14
11 1062 0 13
11 1104 0 13
11 1145 0 12
11 1186 0 11
11 1226 0 10
11 1266 0 9
11 1305 0 8
11 1343 0 7
11 1381 0 6
11 1417 0 5
11 1452 0 4
11 1486 0 3
11 1520 0 3
11 1551 0 2
11 1582 0 2
11 1612 0 1
11 1640 0 1
11 1667 0 1
11 1693 -0 1
11 1717 -0 1
11 1741 -0 1
11 1763 -0 2
11 1784 -0 3
11 1804 -0 4
11 1823 -0 6
11 1841 -0 8
11 1858 -0 12
11 1874 -0 17
11 1889 -0 24
11 1903 -0 33
11 1916 -1 45
11 1928 -2 64
11 1940 -4 93
11 1951 -9 141
11 1961 -20 225
11 1971 -48 375
11 1980 -87 571
11 1988 58 483
11 1996 1082 147
11 2000 2000 0
19 0 0 0
19 3 -0 0
19 11 -0 0
19 19 -0 0
19 28 -0 0
19 38 0 0
19 48 0 -0
19 59 0 -0
19 71 0 -0
19 83 0 -0
19 96 0 -0
19 110 0 -0
19 125 0 -0
19 141 0 -0
19 158 0 -1
19 176 0 -1
19 195 0 -1
19 215 0 -1
19 236 -0 -1
19 258 -0 -1
19 282 -0 -1
19 306 -0 -0
19 332 -0 -0
19 359 -0 0
19 387 -0 2
19 417 -0 3
19 448 -0 5
19 479 -0 8
19 513 -0 11
19 547 -0 14
19 582 -0 17
19 618 -0 20
19 656 -0 24
19 694 -0 27
19 733 -0 30
19 773 -0 32
19 813 -0 35
19 854 -0 36
19 895 -0 37
19 937 0 37
19 979 0 37
19 1020 0 36
19 1062 0 35
19 1104 0 33
19 1145 0 31
19 1186 0 29
19 1226 0 26
19 1266 0 24
19 1305 0 21
19 1343 0 18
19 1381 0 16
19 1417 0 14
19 1452 0 12
19 1486 0 10
19 1520 0 8
19 1551 0 7
19 1582 0 6
19 1612 0 5
19 1640 0 4
19 1667 0 4
19 1693 0 3
19 1717 -0 4
19 1741 -0 4
19 1763 -0 6
19 1784 -0 8
19 1804 -0 11
19 1823 -0 16
19 1841 -1 22
19 1858 -1 32
19 1874 -2 44
19 1889 -3 60
19 1903 -5 82
19 1916 -8 112
19 1928 -13 155
19 1940 -23 219
19 1951 -44 314
19 1961 -82 449
19 1971 -127 579
19 1980 -46 532
19 1988 566 239
19 1996 1641 23
19 2000 2000 0
28 0 0 0
28 3 -0 0
28 11 -0 0
28 19 -0 0
28 28 0 -0
28 38 0 -0
28 48 0 -0
28 59 0 -0
28 71 0 -0
28 83 0 -0
28 96 0 -0
28 110 0 -0
28 125 0 -1
28 141 0 -1
28 158 0 -1
28 176 0 -2
28 195 0 -2
28 215 0 -2
28 236 -0 -2
28 258 -0 -2
28 282 -0 -2
28 306 -0 -1
28 332 -0 -0
28 359 -0 1
28 387 -0 4
28 417 -0 7
28 448 -0 11
28 479 -0 15
28 513 -0 20
28 547 -0 26
28 582 -0 32
28 618 -0 39
28 656 -0 45
28 694 -0 51
28 733 -0 57
28 773 -0 61
28 813 -0 65
28 854 -0 68
28 895 -0 70
28 937 -0 71
28 979 0 70
28 1020 0 69
28 1062 0 66
28 1104 0 63
28 1145 0 59
28 1186 0 55
28 1226 0 50
28 1266 0 46
28 1305 0 41
28 1343 0 36
28 1381 0 31
28 1417 0 27
28 1452 0 23
28 1486 0 20
28 1520 0 17
28 1551 0 14
28 1582 0 12
28 1612 0 10
28 1640 0 9
28 1667 0 8
28 1693 0 8
28 1717 -0 8
28 1741 -0 9
28 1763 -0 11
28 1784 -1 15
28 1804 -1 21
28 1823 -2 30
28 1841 -3 42
28 1858 -5 59
28 1874 -7 80
28 1889 -11 109
28 1903 -16 146
28 1916 -25 195
28 1928 -39 262
28 1940 -65 349
28 1951 -106 455
28 1961 -150 544
28 1971 -110 522
28 1980 253 323
28 1988 1082 97
28 1996 1804 6
28 2000 2000 0
38 0 0 0
38 3 -0 -0
38 11 -0 -0
38 19 -0 -0
38 28 0 -0
38 38 0 -0
38 48 0 -0
38 59 0 -0
38 71 0 -0
38 83 0 -0
38 96 0 -1
38 110 0 -1
38 125 0 -1
38 141 0 -2
38 158 0 -3
38 176 0 -3
38 195 0 -4
38 215 0 -4
38 236 -0 -4
38 258 -0 -3
38 282 -0 -3
38 306 -0 -1
38 332 -0 0
38 359 -0 3
38 387 -1 7
38 417 -1 12
38 448 -1 18
38 479 -1 25
